Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count
RES-00169,Candidate 0169,"JavaScript, React, HTML, CSS",1.3,Master's,1,Data Analyst,Hire,96310,5
RES-00170,Candidate 0170,"Python, Networking, Linux",7.0,Master's,2,Web Developer,Hire,59110,7
RES-00171,Candidate 0171,"Python, Scikit-learn, SQL",4.4,Bachelor's,3,Software Developer,Reject,25000,3
RES-00172,Candidate 0172,"Python, Networking, Linux",4.9,Bachelor's,1,Data Analyst,Reject,68045,4
RES-00173,Candidate 0173,"Python, SQL, Pandas",1.8,Bachelor's,1,Web Developer,Reject,84925,5
RES-00174,Candidate 0174,"JavaScript, React, HTML, CSS",6.8,PhD,2,Cybersecurity Analyst,Hire,46814,4
RES-00175,Candidate 0175,"JavaScript, React, HTML, CSS",1.3,Master's,1,Software Developer,Hire,25000,3
RES-00176,Candidate 0176,"JavaScript, React, HTML, CSS",0.0,Bachelor's,1,Web Developer,Reject,25000,2
RES-00177,Candidate 0177,"Python, SQL, Pandas",7.1,Master's,0,Software Developer,Hire,35102,9
RES-00178,Candidate 0178,"Python, Scikit-learn, SQL",2.4,Master's,1,Software Developer,Hire,86173,2
RES-00179,Candidate 0179,"Python, Scikit-learn, SQL",3.6,Bachelor's,1,Data Analyst,Hire,49639,8
RES-00180,Candidate 0180,"Python, SQL, Pandas",8.3,Bachelor's,2,ML Engineer,Hire,59107,5
RES-00181,Candidate 0181,"Python, SQL, Pandas",6.3,Bachelor's,1,ML Engineer,Hire,75099,2
RES-00182,Candidate 0182,"Python, Scikit-learn, SQL",5.1,PhD,3,Cybersecurity Analyst,Hire,25000,8
RES-00183,Candidate 0183,"Python, Networking, Linux",6.2,Master's,2,Web Developer,Reject,59384,6
RES-00184,Candidate 0184,"Python, Networking, Linux",1.7,Bachelor's,0,Cybersecurity Analyst,Reject,56020,5
RES-00185,Candidate 0185,"JavaScript, React, HTML, CSS",5.4,Bachelor's,1,Web Developer,Hire,66052,6
RES-00186,Candidate 0186,"JavaScript, React, HTML, CSS",6.3,Bachelor's,5,Data Analyst,Hire,62711,4
RES-00187,Candidate 0187,"Python, Scikit-learn, SQL",5.4,Master's,2,Data Analyst,Reject,51996,5
RES-00188,Candidate 0188,"Java, HTML, CSS",3.0,Bachelor's,3,ML Engineer,Reject,53107,2
RES-00189,Candidate 0189,"Python, Scikit-learn, SQL",0.0,Master's,4,Web Developer,Reject,65031,1
RES-00190,Candidate 0190,"Python, Networking, Linux",4.9,Master's,2,Data Analyst,Hire,48817,3
RES-00191,Candidate 0191,"JavaScript, React, HTML, CSS",3.8,Master's,0,Web Developer,Reject,98410,1
RES-00192,Candidate 0192,"Python, SQL, Pandas",2.6,Bachelor's,2,ML Engineer,Reject,92520,7
RES-00193,Candidate 0193,"Java, HTML, CSS",5.4,PhD,3,Cybersecurity Analyst,Hire,77532,2
RES-00194,Candidate 0194,"Java, HTML, CSS",4.2,PhD,6,Data Analyst,Hire,60133,7
RES-00195,Candidate 0195,"Python, SQL, Pandas",4.0,Bachelor's,3,Cybersecurity Analyst,Reject,60609,7
RES-00196,Candidate 0196,"JavaScript, React, HTML, CSS",0.0,Bachelor's,2,Web Developer,Reject,85207,4
RES-00197,Candidate 0197,"Java, HTML, CSS",0.0,Bachelor's,3,Software Developer,Reject,68015,5
RES-00198,Candidate 0198,"Python, SQL, Pandas",4.4,Bachelor's,4,Data Analyst,Reject,46967,2
RES-00199,Candidate 0199,"Python, Scikit-learn, SQL",3.7,Bachelor's,1,Cybersecurity Analyst,Reject,72964,7
RES-00200,Candidate 0200,"JavaScript, React, HTML, CSS",3.8,Master's,1,Software Developer,Hire,74352,1
RES-00201,Candidate 0201,"Python, Scikit-learn, SQL",3.9,Bachelor's,2,ML Engineer,Hire,73737,2
RES-00202,Candidate 0202,"Python, Networking, Linux",4.5,Bachelor's,2,Data Analyst,Reject,43679,6
RES-00203,Candidate 0203,"Python, Networking, Linux",3.6,Bachelor's,1,Web Developer,Hire,41259,0
RES-00204,Candidate 0204,"Java, HTML, CSS",3.9,Bachelor's,0,Software Developer,Hire,51335,5
RES-00205,Candidate 0205,"Python, Scikit-learn, SQL",4.1,Bachelor's,3,Software Developer,Hire,43339,7
RES-00206,Candidate 0206,"Java, HTML, CSS",5.8,Master's,1,Cybersecurity Analyst,Reject,36575,2
RES-00207,Candidate 0207,"Python, Scikit-learn, SQL",2.2,Bachelor's,3,Web Developer,Hire,83292,7
RES-00208,Candidate 0208,"Java, HTML, CSS",5.5,Master's,1,ML Engineer,Reject,57489,3
RES-00209,Candidate 0209,"Python, Scikit-learn, SQL",5.1,Bachelor's,2,Web Developer,Hire,58964,6
RES-00210,Candidate 0210,"Python, SQL, Pandas",3.8,PhD,3,Software Developer,Hire,63130,5
RES-00211,Candidate 0211,"Python, Scikit-learn, SQL",2.3,PhD,2,Cybersecurity Analyst,Hire,25000,6
RES-00212,Candidate 0212,"JavaScript, React, HTML, CSS",4.4,Bachelor's,1,Cybersecurity Analyst,Reject,77565,1
RES-00213,Candidate 0213,"Python, SQL, Pandas",5.7,Master's,1,Software Developer,Reject,59657,6
RES-00214,Candidate 0214,"JavaScript, React, HTML, CSS",0.8,Bachelor's,2,Cybersecurity Analyst,Hire,41546,3
RES-00215,Candidate 0215,"Python, Networking, Linux",3.7,Master's,2,Web Developer,Reject,56387,3
RES-00216,Candidate 0216,"Java, HTML, CSS",3.7,Bachelor's,1,Software Developer,Reject,83639,5
RES-00217,Candidate 0217,"JavaScript, React, HTML, CSS",1.8,Bachelor's,2,Web Developer,Reject,60766,5
RES-00218,Candidate 0218,"JavaScript, React, HTML, CSS",2.0,Bachelor's,2,Cybersecurity Analyst,Hire,95688,5
RES-00219,Candidate 0219,"Java, HTML, CSS",0.0,Bachelor's,3,Software Developer,Reject,94368,6
RES-00220,Candidate 0220,"Python, Networking, Linux",0.7,Master's,1,Software Developer,Reject,99497,7
RES-00221,Candidate 0221,"Python, Networking, Linux",0.0,Master's,1,ML Engineer,Reject,76176,5
RES-00222,Candidate 0222,"Python, Networking, Linux",2.0,Bachelor's,1,ML Engineer,Hire,80520,9
RES-00223,Candidate 0223,"Python, Networking, Linux",2.1,Bachelor's,3,Software Developer,Reject,26131,5
RES-00224,Candidate 0224,"Java, HTML, CSS",2.1,Master's,1,Software Developer,Hire,55378,5
RES-00225,Candidate 0225,"JavaScript, React, HTML, CSS",4.4,Bachelor's,2,Software Developer,Hire,86723,5
RES-00226,Candidate 0226,"Python, Networking, Linux",3.0,Bachelor's,3,Software Developer,Hire,75669,8
RES-00227,Candidate 0227,"Python, Scikit-learn, SQL",1.7,Bachelor's,2,Web Developer,Hire,25000,4
RES-00228,Candidate 0228,"Python, Scikit-learn, SQL",1.7,Master's,2,ML Engineer,Hire,59206,6
RES-00229,Candidate 0229,"Python, SQL, Pandas",0.7,Bachelor's,4,Data Analyst,Reject,52914,8
RES-00230,Candidate 0230,"Java, HTML, CSS",3.0,Bachelor's,0,ML Engineer,Hire,71815,6
RES-00231,Candidate 0231,"Python, Networking, Linux",3.0,PhD,4,ML Engineer,Hire,53476,4
RES-00232,Candidate 0232,"Python, Scikit-learn, SQL",7.6,Bachelor's,2,Web Developer,Hire,56931,6
RES-00233,Candidate 0233,"Python, SQL, Pandas",7.3,Master's,2,Data Analyst,Reject,65364,4
RES-00234,Candidate 0234,"Python, SQL, Pandas",7.2,Master's,1,Data Analyst,Hire,61511,4
RES-00235,Candidate 0235,"JavaScript, React, HTML, CSS",8.7,Bachelor's,3,Web Developer,Hire,72655,2
RES-00236,Candidate 0236,"Python, Scikit-learn, SQL",0.5,Master's,1,Data Analyst,Reject,39074,2
RES-00237,Candidate 0237,"Java, HTML, CSS",5.2,Bachelor's,5,Software Developer,Hire,67543,10
RES-00238,Candidate 0238,"JavaScript, React, HTML, CSS",5.4,Bachelor's,4,Cybersecurity Analyst,Hire,72016,5
RES-00239,Candidate 0239,"Java, HTML, CSS",4.7,Master's,0,ML Engineer,Hire,40292,5
RES-00240,Candidate 0240,"Python, SQL, Pandas",8.8,Bachelor's,4,Web Developer,Hire,62675,5
RES-00241,Candidate 0241,"Python, SQL, Pandas",9.8,PhD,2,Cybersecurity Analyst,Hire,89822,8
RES-00242,Candidate 0242,"Python, Networking, Linux",5.9,PhD,1,ML Engineer,Hire,72270,4
RES-00243,Candidate 0243,"Python, SQL, Pandas",5.1,Bachelor's,2,Software Developer,Hire,72352,6
RES-00244,Candidate 0244,"JavaScript, React, HTML, CSS",0.7,Bachelor's,2,Cybersecurity Analyst,Hire,40137,4
RES-00245,Candidate 0245,"Java, HTML, CSS",0.7,Bachelor's,0,Web Developer,Reject,96432,5
RES-00246,Candidate 0246,"Python, Networking, Linux",5.3,Master's,2,Data Analyst,Reject,42249,7
